Project,ReleaseId,ClassPath,NSmells
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java,18
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Size.java,0
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sqrt.java,0
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,3
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java,1
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringLength.java,1
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,16
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java,2
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sum.java,1
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java,0
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToUpperCase.java,0
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java,4
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/UnaryOp.java,2
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java,17
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,15
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,83
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java,19
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassStrategy.java,7
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DelegatingJoinable.java,5
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Discriminator.java,20
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java,18
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorStrategy.java,5
OPENJPA,12312343,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Embeddable.java,7
