SIZE_LOC,NOM,AVG_METHOD_SIZE,CYCLO_COMPLEXITY,FAN_OUT,NR,FIX_RATE,NAUTH,LOC_ADDED,MAX_LOC_ADDED,CHURN,MAX_CHURN,MAX_CHANGE_SET_SIZE,AVG_MODIFIED_DIRS,CLASS_AGE,AGE_SINCE_LAST_CHANGE,OWNERSHIP_RATIO,CROSS_DIRECTORY_CHANGE_RATIO,NSMELLS,SMELL_DENSITY,Bugginess
39,1,39.000000,1,1,8,0.000000,1,128,39,217,74,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
39,1,39.000000,1,1,8,0.000000,1,147,45,255,74,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
38,1,38.000000,4,0,8,0.000000,1,127,39,216,73,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
55,3,18.333333,3,2,5,0.000000,2,103,49,151,94,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
60,3,20.000000,5,2,5,0.000000,2,112,53,164,102,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
66,6,11.000000,6,1,5,0.000000,2,146,74,226,143,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
39,1,39.000000,1,1,8,0.000000,1,147,45,255,74,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
66,5,13.200000,5,1,6,0.000000,2,148,74,230,143,1028,37.333333,45,6,0.833333,1.000000,0,0.000000,no
57,3,19.000000,7,2,5,0.000000,2,107,51,157,98,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
54,3,18.000000,3,1,5,0.000000,2,109,52,164,100,1028,40.800000,45,6,0.800000,1.000000,0,0.000000,no
31,0,0.000000,0,0,9,0.000000,1,114,31,197,59,1028,35.777778,103,37,1.000000,1.000000,0,0.000000,no
31,1,31.000000,2,0,9,0.000000,1,115,31,199,59,1028,35.777778,103,37,1.000000,1.000000,0,0.000000,no
36,1,36.000000,1,1,9,0.000000,1,166,53,296,80,1028,39.333333,103,17,1.000000,1.000000,0,0.000000,no
61,1,61.000000,1,1,9,0.000000,1,189,53,317,94,1028,39.333333,103,17,1.000000,1.000000,0,0.000000,no
42,1,42.000000,1,1,9,0.000000,1,170,53,298,82,1028,39.333333,103,17,1.000000,1.000000,0,0.000000,no
27,0,0.000000,0,0,8,0.000000,1,100,30,173,50,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
62,4,15.500000,6,1,4,0.000000,1,122,62,182,121,1028,50.250000,45,37,1.000000,1.000000,0,0.000000,no
52,1,52.000000,1,1,9,0.000000,1,177,53,302,86,1028,39.333333,103,17,1.000000,1.000000,0,0.000000,no
37,1,37.000000,1,1,9,0.000000,1,169,53,301,82,1028,39.333333,103,17,1.000000,1.000000,0,0.000000,no
36,1,36.000000,1,1,9,0.000000,1,175,53,314,90,1028,39.333333,103,17,1.000000,1.000000,0,0.000000,no
62,5,12.400000,7,0,5,0.000000,1,130,66,198,127,1028,44.200000,45,37,1.000000,1.000000,0,0.000000,no
52,1,52.000000,1,3,5,0.000000,1,108,54,164,104,1028,46.800000,45,17,1.000000,1.000000,0,0.000000,no
58,1,58.000000,1,3,5,0.000000,1,119,60,180,116,1028,46.800000,45,17,1.000000,1.000000,0,0.000000,no
91,6,15.166667,8,4,5,0.000000,1,186,94,281,181,1028,46.800000,45,17,1.000000,1.000000,0,0.000000,no
50,1,50.000000,1,1,9,0.000000,1,186,53,322,98,1028,39.333333,103,17,1.000000,1.000000,0,0.000000,no
51,1,51.000000,1,1,9,0.000000,1,181,53,311,94,1028,39.333333,103,17,1.000000,1.000000,0,0.000000,no
159,6,26.500000,6,3,6,0.000000,1,207,157,255,157,1028,46.500000,58,37,1.000000,1.000000,0,0.000000,no
48,2,24.000000,3,2,6,0.000000,1,71,50,94,50,1028,46.500000,58,37,1.000000,1.000000,0,0.000000,no
39,1,39.000000,2,0,7,0.000000,1,78,45,117,45,1028,41.857143,103,37,1.000000,1.000000,0,0.000000,no
120,17,7.058824,17,4,6,0.000000,1,147,125,174,125,1028,46.500000,58,37,1.000000,1.000000,0,0.000000,no
38,1,38.000000,1,2,7,0.000000,1,77,44,116,44,1028,41.857143,103,37,1.000000,1.000000,0,0.000000,no
382,6,63.666667,6,1,7,0.000000,1,679,445,976,445,1028,43.857143,58,37,1.000000,1.000000,0,0.000000,no
279,6,46.500000,6,0,7,0.000000,1,474,328,669,328,1028,43.857143,58,37,1.000000,1.000000,0,0.000000,no
45,1,45.000000,1,0,6,0.000000,1,61,46,77,46,1028,46.500000,58,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,9,0.000000,1,154,53,272,71,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,6,9,0.000000,1,155,53,274,71,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
47,0,0.000000,0,5,5,0.000000,1,101,45,155,87,1028,50.200000,45,37,1.000000,1.000000,0,0.000000,no
42,0,0.000000,0,4,9,0.000000,1,166,53,290,74,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
34,0,0.000000,0,4,9,0.000000,1,132,35,230,65,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,9,0.000000,1,154,53,273,71,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,9,0.000000,1,154,53,272,71,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
43,0,0.000000,0,5,5,0.000000,1,97,45,151,87,1028,50.200000,45,37,1.000000,1.000000,0,0.000000,no
39,0,0.000000,0,5,9,0.000000,1,161,53,283,72,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
49,0,0.000000,0,5,5,0.000000,1,103,45,157,87,1028,50.200000,45,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,9,0.000000,1,155,53,274,71,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,9,0.000000,1,155,53,274,71,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
46,0,0.000000,0,4,9,0.000000,1,171,53,296,74,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
43,0,0.000000,0,5,9,0.000000,1,165,53,287,72,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
109,13,8.384615,13,9,2,0.000000,1,109,109,109,109,1028,68.500000,37,37,1.000000,1.000000,0,0.000000,no
43,0,0.000000,0,5,9,0.000000,1,167,53,291,74,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
34,0,0.000000,0,4,6,0.000000,1,109,36,184,69,1028,46.000000,56,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,9,0.000000,1,154,53,273,71,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
45,0,0.000000,0,5,9,0.000000,1,167,53,289,72,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
34,0,0.000000,0,4,9,0.000000,1,134,35,234,65,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
34,0,0.000000,0,4,6,0.000000,1,109,36,184,69,1028,46.000000,56,37,1.000000,1.000000,0,0.000000,no
41,0,0.000000,0,5,9,0.000000,1,163,53,285,72,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
48,0,0.000000,0,4,9,0.000000,1,172,53,296,74,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
34,0,0.000000,0,4,6,0.000000,1,109,36,184,69,1028,46.000000,56,37,1.000000,1.000000,0,0.000000,no
34,0,0.000000,0,4,9,0.000000,1,132,35,230,65,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
51,0,0.000000,0,5,5,0.000000,1,105,45,159,87,1028,50.200000,45,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,9,0.000000,1,157,53,279,72,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
47,0,0.000000,0,5,9,0.000000,1,171,53,295,74,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
34,0,0.000000,0,4,6,0.000000,1,109,36,184,69,1028,46.000000,56,37,1.000000,1.000000,0,0.000000,no
44,0,0.000000,0,4,9,0.000000,1,168,53,292,74,1028,41.222222,103,37,1.000000,1.000000,0,0.000000,no
38,0,0.000000,0,4,8,0.000000,1,156,53,274,74,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
37,0,0.000000,0,5,8,0.000000,1,154,53,271,73,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,8,0.000000,1,150,53,265,71,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
37,0,0.000000,0,5,8,0.000000,1,154,53,271,73,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
35,0,0.000000,0,5,8,0.000000,1,150,53,265,71,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
36,0,0.000000,0,5,8,0.000000,1,153,53,270,72,1028,40.125000,103,37,1.000000,1.000000,0,0.000000,no
